time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-11-29T18:30:00.0000000Z,2019-11-29T19:00:00.0000000Z,2019-11-29T18:30:01.9690000Z,2019-11-29T18:58:22.3800000Z,155.15,155.15,154.76,154.78,497.11070647,53
2019-11-29T19:00:00.0000000Z,2019-11-29T19:30:00.0000000Z,2019-11-29T19:00:16.9110000Z,2019-11-29T19:29:25.7880000Z,154.8,155.19,154.5,154.53,433.29288781,63
2019-11-29T19:30:00.0000000Z,2019-11-29T20:00:00.0000000Z,2019-11-29T19:30:10.5020000Z,2019-11-29T19:59:55.2060000Z,154.51,154.75,154.33,154.42,285.98423076,69
2019-11-29T20:00:00.0000000Z,2019-11-29T20:30:00.0000000Z,2019-11-29T20:01:03.6980000Z,2019-11-29T20:29:35.3940000Z,154.46,154.75,154.46,154.53,94.94415909,49
2019-11-29T20:30:00.0000000Z,2019-11-29T21:00:00.0000000Z,2019-11-29T20:30:04.4040000Z,2019-11-29T20:59:41.9490000Z,154.54,155.38,153.96,154.2,1326.30819926,221
2019-11-29T21:00:00.0000000Z,2019-11-29T21:30:00.0000000Z,2019-11-29T21:00:25.5140000Z,2019-11-29T21:29:17.8030000Z,154.14,154.28,153.03,153.31,2433.90884174,371
2019-11-29T21:30:00.0000000Z,2019-11-29T22:00:00.0000000Z,2019-11-29T21:30:42.2560000Z,2019-11-29T21:57:28.9480000Z,153.17,153.17,152.33,152.56,903.12898311,110
2019-11-29T22:00:00.0000000Z,2019-11-29T22:30:00.0000000Z,2019-11-29T22:00:37.4780000Z,2019-11-29T22:29:16.5380000Z,152.49,153.36,152.27,153.18,514.19773707,92
2019-11-29T22:30:00.0000000Z,2019-11-29T23:00:00.0000000Z,2019-11-29T22:37:34.2850000Z,2019-11-29T22:59:25.2150000Z,153.2,153.69,152.9,153.68,246.60742299,50
2019-11-29T23:00:00.0000000Z,2019-11-29T23:30:00.0000000Z,2019-11-29T23:00:18.4950000Z,2019-11-29T23:29:22.5930000Z,153.79,154.9,153.18,153.75,1710.90038397,179
2019-11-29T23:30:00.0000000Z,2019-11-30T00:00:00.0000000Z,2019-11-29T23:31:03.0460000Z,2019-11-29T23:59:21.4960000Z,154.01,154.78,153.77,154.78,163.24870398,55
2019-11-30T00:00:00.0000000Z,2019-11-30T00:30:00.0000000Z,2019-11-30T00:00:00.6910000Z,2019-11-30T00:29:15.6000000Z,154.8,154.81,154.21,154.69,336.85951455,81
2019-11-30T00:30:00.0000000Z,2019-11-30T01:00:00.0000000Z,2019-11-30T00:31:23.2060000Z,2019-11-30T00:59:02.5530000Z,154.65,155.34,154.58,154.58,243.20000152,63
2019-11-30T01:00:00.0000000Z,2019-11-30T01:30:00.0000000Z,2019-11-30T01:00:02.9230000Z,2019-11-30T01:27:31.4090000Z,154.69,155.21,154.47,155.0,262.75129616,61
2019-11-30T01:30:00.0000000Z,2019-11-30T02:00:00.0000000Z,2019-11-30T01:30:47.3100000Z,2019-11-30T01:52:02.4460000Z,155.09,155.09,154.53,154.58,48.44416351,24
2019-11-30T02:00:00.0000000Z,2019-11-30T02:30:00.0000000Z,2019-11-30T02:00:16.8600000Z,2019-11-30T02:28:21.0830000Z,154.33,154.33,153.83,154.16,100.52512234,54
2019-11-30T02:30:00.0000000Z,2019-11-30T03:00:00.0000000Z,2019-11-30T02:30:39.3420000Z,2019-11-30T02:59:47.5600000Z,154.16,154.16,153.81,153.81,17.97193113,44
